date,year,quarter,month,subdiv,lat,long,density,lon,X,Y,depth,year_q,temp
2020-08-29,2020,3,8,20,57.76895,918.836,0,9.313933333333333,518.6756845092714,6403.03039740049,73.90641784667969,2020_3,11.481154441833496
2020-08-29,2020,3,8,20,57.84973333333334,942.145,0,9.702416666666666,541.6926283795801,6412.197084360964,47.2580680847168,2020_3,12.532212257385254
2020-08-29,2020,3,8,20,57.737433333333335,1006.567,0,10.10945,566.0562705616499,6400.019237229152,27.74608039855957,2020_3,11.964568138122559
2020-08-30,2020,3,8,20,57.66988333333334,1112.304,36.29955947136564,11.205066666666669,631.5231936382479,6394.0971704129315,38.97343063354492,2020_3,15.935880661010742
2020-08-30,2020,3,8,20,57.59086666666667,1123.632,1.9577673692427795,11.393866666666668,643.0921337871481,6385.685792231488,49.86343002319336,2020_3,12.960692405700684
2020-08-30,2020,3,8,20,57.76905,1115.796,0.6462882096069869,11.263266666666668,634.6250580999686,6405.247924212101,50.47343063354492,2020_3,13.698995590209961
2020-08-31,2020,3,8,21,57.18103333333333,1126.839,0.6534296028880866,11.447316666666666,647.928105318484,6340.193661242028,62.637638092041016,2020_3,14.695852279663086
2020-08-31,2020,3,8,21,56.797666666666665,1150.355,12.131004366812226,11.83925,673.3849678625133,6298.459294339486,40.9161376953125,2020_3,14.530320167541504
2020-08-31,2020,3,8,21,56.620599999999996,1149.757,11.887755102040817,11.829283333333334,673.5903346716941,6278.734329018197,37.55613708496094,2020_3,14.763236999511719
2020-09-01,2020,3,9,21,56.21711666666667,1057.623,12.716297786720322,10.960383333333334,621.569454511065,6231.973378070704,16.50118637084961,2020_3,16.453718185424805
2020-09-01,2020,3,9,21,56.45361666666666,1105.421,87.40256959314775,11.09035,628.828312038204,6258.52673541899,17.072755813598633,2020_3,16.675649642944336
2020-09-01,2020,3,9,21,56.35073333333333,1154.827,4.349705304518664,11.913783333333333,680.047152618352,6248.928768957412,32.036136627197266,2020_3,14.64677906036377
2020-09-01,2020,3,9,21,56.36615,1215.77,0.29025844930417494,12.262833333333333,701.525577030466,6251.6119524011965,30.834863662719727,2020_3,14.000762939453125
2020-09-01,2020,3,9,21,56.358916666666666,1233.067,0.10740740740740742,12.551116666666667,719.3642067977391,6251.689601089745,13.396269798278809,2020_3,15.401928901672363
2020-09-02,2020,3,9,21,56.54703333333334,1233.594,0.562992125984252,12.5599,718.8216791565145,6272.640330303958,22.206270217895508,2020_3,15.648762702941895
2020-09-02,2020,3,9,21,56.81588333333334,1212.625,4.975206611570248,12.210416666666667,695.9469954281622,6301.487549929951,40.15486145019531,2020_3,14.098910331726074
2020-09-02,2020,3,9,21,56.87225,1217.69,30.973084886128365,12.294833333333335,700.7948993833153,6308.002646299415,19.68486213684082,2020_3,15.549150466918945
2020-09-02,2020,3,9,21,57.01533333333334,1212.271,14.616895874263262,12.204516666666667,694.5462167371835,6323.658173993356,37.878231048583984,2020_3,14.177282333374023
2020-09-02,2020,3,9,21,57.18398333333333,1203.848,6.620469083155649,12.064133333333332,685.1836462375281,6342.029483828786,41.398231506347656,2020_3,16.043550491333008
2020-09-03,2020,3,9,21,56.927083333333336,1141.438,0.08829174664107485,11.690633333333334,663.7454738423,6312.492006916158,33.26312255859375,2020_3,15.43342399597168
2020-09-03,2020,3,9,21,57.103750000000005,1150.028,3.480769230769231,11.8338,671.6393147359739,6332.500114313439,44.043121337890625,2020_3,13.148930549621582
2020-09-03,2020,3,9,21,57.18186666666667,1139.585,1.750902527075812,11.65975,660.7613693893685,6340.767497770489,48.363121032714844,2020_3,15.142643928527832
2020-09-03,2020,3,9,21,57.31314999999999,1134.573,0.4592030360531309,11.576216666666669,655.1610647234372,6355.181844194862,68.483123779296875,2020_3,12.165989875793457
2020-09-03,2020,3,9,21,57.37486666666667,1118.964,45.70281124497992,11.316066666666666,639.2625681536699,6361.486684735412,37.367637634277344,2020_3,15.968108177185059
2020-09-04,2020,3,9,21,57.44226666666667,1049.826,0.7463312368972747,10.830433333333334,609.8646895578545,6368.098068539786,35.68459701538086,2020_3,16.33872413635254
2020-09-04,2020,3,9,20,57.6462,1046.228,39.083333333333336,10.770466666666668,605.6738881184058,6390.701014934231,24.689956665039062,2020_3,16.251564025878906
2021-01-20,2021,1,1,20,57.88718333333333,1111.308,0,11.188466666666667,629.751420590929,6418.249307060126,51.233428955078125,2021_1,5.392345905303955
2021-01-20,2021,1,1,20,57.69976666666666,1120.759,0,11.345983333333333,639.8112023888934,6397.704961694174,53.72343063354492,2021_1,4.751457214355469
2021-01-20,2021,1,1,20,57.56666666666667,1137.307,0,11.621783333333333,656.815952464859,6383.496513648941,56.90043258666992,2021_1,4.910397529602051
2021-01-21,2021,1,1,21,56.227833333333336,1057.946,0,10.965766666666665,621.8692206384269,6233.175398506924,16.50118637084961,2021_1,5.702902317047119
2021-01-21,2021,1,1,21,56.45288333333333,1105.266,0,11.087766666666669,628.6716078868386,6258.440293050153,17.072755813598633,2021_1,5.78347110748291
2021-01-21,2021,1,1,21,56.34753333333333,1154.683,0,11.911383333333333,679.9139732225434,6248.566495921585,30.70829963684082,2021_1,6.973692893981934
2021-01-22,2021,1,1,21,56.39315,1215.568,0,12.259466666666667,701.1752961749814,6254.605422394324,33.53486251831055,2021_1,6.772270679473877
2021-01-22,2021,1,1,21,56.339033333333326,1236.8,0,12.613333333333333,723.3218270476088,6249.678421751148,14.726774215698242,2021_1,5.6487016677856445
2021-01-22,2021,1,1,21,56.54585,1233.193,0.466281310211946,12.553216666666666,718.4178904848391,6272.487423280329,22.206270217895508,2021_1,5.850855827331543
2021-01-22,2021,1,1,21,56.823100000000004,1213.298,0.6075471698113206,12.221633333333333,696.5934934607707,6302.32252340664,40.15486145019531,2021_1,6.146763324737549
2021-01-23,2021,1,1,21,56.629850000000005,1149.897,0.13662239089184058,11.831616666666665,673.6909430415992,6279.769345858569,37.55613708496094,2021_1,6.678517818450928
2021-01-23,2021,1,1,21,56.783449999999995,1153.02,7.031657355679701,11.883666666666667,676.1631178801795,6296.991020045461,37.92613983154297,2021_1,6.4976043701171875
